# Carlier 1986 F-actin filled circles from Fig 3a
0.607 4.712e-2
1.69 0.12
2.956 0.233
4.435 0.321
5.94 0.414
7.496 0.528
9.107 0.648
11.298 0.773
13.593 0.843
16.681 0.943
20.452 0.968
23.96 1.017
28.022 0.979
30.948 0.964
